Loading vocab...
token_vocab: 4521, post_vocab: 160, pos_vocab: 46, dep_vocab: 42, pol_vocab: 3
cuda memory allocated: 7069696
n_trainable_params: 395673, n_nontrainable_params: 1356300
training arguments:
>>> model_name: text-gt
>>> dataset: restaurant
>>> optimizer: <class 'torch.optim.adam.Adam'>
>>> initializer: <function xavier_uniform_ at 0x7f9714bae3a0>
>>> learning_rate: 0.001
>>> num_epoch: 50
>>> batch_size: 16
>>> log_step: 5
>>> embed_dim: 300
>>> post_dim: 60
>>> pos_dim: 30
>>> deprel_dim: 30
>>> hidden_dim: 60
>>> num_layers: 8
>>> polarities_dim: 3
>>> input_dropout: 0.7
>>> lower: True
>>> directed: False
>>> add_self_loop: True
>>> bidirect: True
>>> rnn_hidden: 60
>>> rnn_layers: 1
>>> rnn_dropout: 0.1
>>> max_length: 85
>>> device: cuda:0
>>> seed: 1000
>>> weight_decay: 0.0001
>>> vocab_dir: ./dataset/Restaurants_corenlp
>>> pad_id: 0
>>> graph_conv_type: gin
>>> graph_conv_attention_heads: 4
>>> graph_conv_attn_dropout: 0.0
>>> ffn_dropout: 0.4
>>> attention_heads: 4
>>> attn_dropout: 0.2
>>> norm: ln
>>> max_position: 9
>>> finetune_weight_decay: 0.01
>>> scheduler: linear
>>> warmup: 2
>>> cuda: 0
>>> pretrained_bert_name: bert-base-uncased
>>> adam_epsilon: 1e-08
>>> bert_dim: 768
>>> bert_dropout: 0.3
>>> bert_lr: 2e-05
>>> model_class: <class 'models.text_gt.TextGT'>
>>> dataset_file: {'train': './dataset/Restaurants_corenlp/train.json', 'test': './dataset/Restaurants_corenlp/test.json'}
>>> inputs_cols: ['text', 'aspect', 'pos', 'head', 'deprel', 'post', 'mask', 'length', 'adj']
>>> post_size: 160
>>> pos_size: 46
>>> deprel_size: 42
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 0
>> saved: ./state_dict/text-gt_restaurant_acc_0.6434_f1_0.2766
loss: 1.7268, acc: 0.5000, test_acc: 0.6434, f1: 0.2766
loss: 1.2094, acc: 0.5312, test_acc: 0.6399, f1: 0.2818
loss: 1.3077, acc: 0.5417, test_acc: 0.6229, f1: 0.2918
loss: 1.2559, acc: 0.5312, test_acc: 0.5076, f1: 0.3070
loss: 1.5339, acc: 0.4875, test_acc: 0.2770, f1: 0.2224
loss: 1.5713, acc: 0.4479, test_acc: 0.2708, f1: 0.2183
loss: 1.5099, acc: 0.4196, test_acc: 0.2922, f1: 0.2328
loss: 1.4596, acc: 0.4219, test_acc: 0.4799, f1: 0.3230
loss: 1.7617, acc: 0.4097, test_acc: 0.5746, f1: 0.3105
loss: 1.9004, acc: 0.3937, test_acc: 0.5183, f1: 0.3161
loss: 0.8813, acc: 0.4091, test_acc: 0.5165, f1: 0.3053
loss: 1.2529, acc: 0.4062, test_acc: 0.4450, f1: 0.2892
loss: 1.0116, acc: 0.4038, test_acc: 0.5201, f1: 0.3170
loss: 1.6726, acc: 0.3973, test_acc: 0.5961, f1: 0.3138
loss: 1.4582, acc: 0.4000, test_acc: 0.5273, f1: 0.3271
loss: 1.7656, acc: 0.3906, test_acc: 0.3610, f1: 0.3108
loss: 1.1639, acc: 0.3860, test_acc: 0.5290, f1: 0.3245
loss: 1.2992, acc: 0.3889, test_acc: 0.6229, f1: 0.3054
loss: 1.8874, acc: 0.3849, test_acc: 0.5585, f1: 0.3197
loss: 1.1125, acc: 0.3937, test_acc: 0.4111, f1: 0.3052
loss: 1.3789, acc: 0.3810, test_acc: 0.1752, f1: 0.0994
loss: 1.9067, acc: 0.3778, test_acc: 0.1761, f1: 0.1004
loss: 0.8819, acc: 0.3804, test_acc: 0.5666, f1: 0.3602
loss: 2.0396, acc: 0.3698, test_acc: 0.3056, f1: 0.2249
loss: 1.1355, acc: 0.3700, test_acc: 0.1823, f1: 0.1090
loss: 1.0780, acc: 0.3678, test_acc: 0.2878, f1: 0.2440
>> saved: ./state_dict/text-gt_restaurant_acc_0.6479_f1_0.2748
loss: 0.9797, acc: 0.3843, test_acc: 0.6479, f1: 0.2748
>> saved: ./state_dict/text-gt_restaurant_acc_0.6488_f1_0.2623
loss: 1.0646, acc: 0.3884, test_acc: 0.6488, f1: 0.2623
loss: 1.4346, acc: 0.3901, test_acc: 0.6390, f1: 0.2841
loss: 1.3511, acc: 0.3812, test_acc: 0.3280, f1: 0.3152
loss: 0.8752, acc: 0.3871, test_acc: 0.4683, f1: 0.3504
>> saved: ./state_dict/text-gt_restaurant_acc_0.6533_f1_0.3368
loss: 1.6283, acc: 0.3867, test_acc: 0.6533, f1: 0.3368
loss: 1.4185, acc: 0.3864, test_acc: 0.6497, f1: 0.2625
loss: 1.4931, acc: 0.3860, test_acc: 0.3932, f1: 0.2800
loss: 1.3290, acc: 0.3821, test_acc: 0.2163, f1: 0.2158
loss: 1.0631, acc: 0.3802, test_acc: 0.1752, f1: 0.0994
loss: 1.1415, acc: 0.3851, test_acc: 0.6497, f1: 0.2625
loss: 1.4733, acc: 0.3882, test_acc: 0.6497, f1: 0.2625
loss: 1.2893, acc: 0.3830, test_acc: 0.2440, f1: 0.2395
loss: 1.2601, acc: 0.3828, test_acc: 0.1769, f1: 0.1039
loss: 0.9715, acc: 0.3841, test_acc: 0.3351, f1: 0.3119
loss: 1.2859, acc: 0.3824, test_acc: 0.1752, f1: 0.0994
loss: 1.3628, acc: 0.3765, test_acc: 0.1778, f1: 0.1133
loss: 0.7829, acc: 0.3821, test_acc: 0.6265, f1: 0.4126
>> saved: ./state_dict/text-gt_restaurant_acc_0.6676_f1_0.4094
loss: 1.4411, acc: 0.3792, test_acc: 0.6676, f1: 0.4094
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 1
loss: 1.2631, acc: 0.1875, test_acc: 0.2011, f1: 0.1870
loss: 0.8222, acc: 0.3750, test_acc: 0.2002, f1: 0.1738
loss: 1.3789, acc: 0.3750, test_acc: 0.5737, f1: 0.3696
loss: 1.0032, acc: 0.3906, test_acc: 0.6148, f1: 0.3741
loss: 1.0995, acc: 0.4000, test_acc: 0.1752, f1: 0.0994
loss: 1.3446, acc: 0.3646, test_acc: 0.2475, f1: 0.2441
loss: 1.3199, acc: 0.3839, test_acc: 0.6559, f1: 0.4006
loss: 1.2259, acc: 0.3828, test_acc: 0.2404, f1: 0.1713
loss: 1.5427, acc: 0.3542, test_acc: 0.1752, f1: 0.0994
loss: 1.1366, acc: 0.3625, test_acc: 0.6568, f1: 0.3859
loss: 1.2181, acc: 0.3864, test_acc: 0.6586, f1: 0.3625
loss: 1.0056, acc: 0.3906, test_acc: 0.5934, f1: 0.4159
loss: 1.2038, acc: 0.3702, test_acc: 0.1859, f1: 0.1280
loss: 0.9718, acc: 0.3795, test_acc: 0.2234, f1: 0.2161
loss: 1.1814, acc: 0.3708, test_acc: 0.3146, f1: 0.3265
loss: 0.8365, acc: 0.3828, test_acc: 0.6559, f1: 0.2980
loss: 1.2893, acc: 0.3824, test_acc: 0.6515, f1: 0.2697
loss: 1.2955, acc: 0.3854, test_acc: 0.2511, f1: 0.2487
loss: 1.0782, acc: 0.3816, test_acc: 0.2038, f1: 0.1812
loss: 1.3257, acc: 0.3781, test_acc: 0.4718, f1: 0.4070
loss: 0.9776, acc: 0.3810, test_acc: 0.3834, f1: 0.3727
loss: 1.2637, acc: 0.3778, test_acc: 0.5165, f1: 0.4710
loss: 1.1615, acc: 0.3832, test_acc: 0.6202, f1: 0.3946
loss: 0.9564, acc: 0.3906, test_acc: 0.3485, f1: 0.3302
loss: 1.2213, acc: 0.3875, test_acc: 0.2404, f1: 0.2408
loss: 1.1577, acc: 0.3846, test_acc: 0.1966, f1: 0.1705
loss: 1.1531, acc: 0.3912, test_acc: 0.6631, f1: 0.4244
loss: 1.3829, acc: 0.3884, test_acc: 0.4754, f1: 0.4386
loss: 1.2585, acc: 0.3815, test_acc: 0.2377, f1: 0.2401
loss: 1.4481, acc: 0.3750, test_acc: 0.2100, f1: 0.1548
loss: 0.8779, acc: 0.3810, test_acc: 0.2002, f1: 0.1784
loss: 1.3773, acc: 0.3750, test_acc: 0.2395, f1: 0.2398
loss: 1.5122, acc: 0.3693, test_acc: 0.3137, f1: 0.2294
loss: 1.1118, acc: 0.3768, test_acc: 0.6506, f1: 0.2662
>> saved: ./state_dict/text-gt_restaurant_acc_0.6810_f1_0.4004
loss: 0.8993, acc: 0.3821, test_acc: 0.6810, f1: 0.4004
loss: 1.0091, acc: 0.3785, test_acc: 0.6640, f1: 0.5439
loss: 1.3491, acc: 0.3767, test_acc: 0.2064, f1: 0.1706
loss: 1.1492, acc: 0.3717, test_acc: 0.2109, f1: 0.2050
loss: 0.9152, acc: 0.3750, test_acc: 0.6702, f1: 0.3851
loss: 0.7414, acc: 0.3828, test_acc: 0.6622, f1: 0.3948
loss: 1.1462, acc: 0.3857, test_acc: 0.6658, f1: 0.3273
loss: 1.0931, acc: 0.3869, test_acc: 0.1823, f1: 0.1261
loss: 0.9939, acc: 0.3866, test_acc: 0.2315, f1: 0.2220
loss: 1.4877, acc: 0.3821, test_acc: 0.1752, f1: 0.0994
loss: 0.9995, acc: 0.3861, test_acc: 0.6720, f1: 0.3797
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 2
loss: 1.2416, acc: 0.3125, test_acc: 0.5228, f1: 0.4338
loss: 0.9748, acc: 0.2812, test_acc: 0.2744, f1: 0.2735
loss: 1.3196, acc: 0.2917, test_acc: 0.6166, f1: 0.5167
loss: 1.1222, acc: 0.3438, test_acc: 0.6613, f1: 0.4083
>> saved: ./state_dict/text-gt_restaurant_acc_0.6819_f1_0.4656
loss: 1.5187, acc: 0.3500, test_acc: 0.6819, f1: 0.4656
loss: 1.0704, acc: 0.3542, test_acc: 0.2601, f1: 0.2611
loss: 1.3061, acc: 0.3304, test_acc: 0.2288, f1: 0.2175
loss: 0.9962, acc: 0.3672, test_acc: 0.6032, f1: 0.5169
loss: 1.2203, acc: 0.3750, test_acc: 0.6363, f1: 0.4793
loss: 0.9921, acc: 0.3937, test_acc: 0.6345, f1: 0.4863
loss: 1.0506, acc: 0.4034, test_acc: 0.4987, f1: 0.4613
loss: 1.1575, acc: 0.3958, test_acc: 0.2958, f1: 0.2744
loss: 1.0644, acc: 0.3846, test_acc: 0.3727, f1: 0.3799
loss: 1.1251, acc: 0.3839, test_acc: 0.4066, f1: 0.4099
>> saved: ./state_dict/text-gt_restaurant_acc_0.6890_f1_0.5060
loss: 0.7242, acc: 0.4000, test_acc: 0.6890, f1: 0.5060
loss: 0.9074, acc: 0.4062, test_acc: 0.6729, f1: 0.4349
loss: 0.9356, acc: 0.4191, test_acc: 0.5130, f1: 0.4781
loss: 0.8379, acc: 0.4271, test_acc: 0.3342, f1: 0.3248
loss: 1.1964, acc: 0.4276, test_acc: 0.5326, f1: 0.4938
loss: 1.2122, acc: 0.4219, test_acc: 0.5853, f1: 0.3923
>> saved: ./state_dict/text-gt_restaurant_acc_0.6944_f1_0.4346
loss: 1.1687, acc: 0.4256, test_acc: 0.6944, f1: 0.4346
loss: 0.9051, acc: 0.4318, test_acc: 0.3673, f1: 0.3344
loss: 1.1394, acc: 0.4239, test_acc: 0.3682, f1: 0.3727
loss: 1.0103, acc: 0.4245, test_acc: 0.4602, f1: 0.4006
>> saved: ./state_dict/text-gt_restaurant_acc_0.7042_f1_0.4583
