Loading vocab...
token_vocab: 4521, post_vocab: 160, pos_vocab: 46, dep_vocab: 42, pol_vocab: 3
cuda memory allocated: 7069696
n_trainable_params: 395673, n_nontrainable_params: 1356300
training arguments:
>>> model_name: gnn-transformer
>>> dataset: restaurant
>>> optimizer: <class 'torch.optim.adam.Adam'>
>>> initializer: <function xavier_uniform_ at 0x7f9352ac0d30>
>>> learning_rate: 0.001
>>> num_epoch: 50
>>> batch_size: 16
>>> log_step: 5
>>> embed_dim: 300
>>> post_dim: 60
>>> pos_dim: 30
>>> deprel_dim: 30
>>> hidden_dim: 60
>>> num_layers: 8
>>> polarities_dim: 3
>>> input_dropout: 0.7
>>> lower: True
>>> directed: False
>>> add_self_loop: True
>>> bidirect: True
>>> rnn_hidden: 60
>>> rnn_layers: 1
>>> rnn_dropout: 0.1
>>> max_length: 85
>>> device: cuda:0
>>> seed: 1000
>>> weight_decay: 0.0001
>>> vocab_dir: ./dataset/Restaurants_corenlp
>>> pad_id: 0
>>> graph_conv_type: gin
>>> graph_conv_attention_heads: 4
>>> graph_conv_attn_dropout: 0.0
>>> ffn_dropout: 0.4
>>> attention_heads: 4
>>> attn_dropout: 0.2
>>> norm: ln
>>> max_position: 9
>>> finetune_weight_decay: 0.01
>>> scheduler: linear
>>> warmup: 2
>>> cuda: 0
>>> pretrained_bert_name: bert-base-uncased
>>> adam_epsilon: 1e-08
>>> bert_dim: 768
>>> bert_dropout: 0.3
>>> bert_lr: 2e-05
>>> model_class: <class 'models.gnn_transformer.GNN_Transformer'>
>>> dataset_file: {'train': './dataset/Restaurants_corenlp/train.json', 'test': './dataset/Restaurants_corenlp/test.json'}
>>> inputs_cols: ['text', 'aspect', 'pos', 'head', 'deprel', 'post', 'mask', 'length', 'adj']
>>> post_size: 160
>>> pos_size: 46
>>> deprel_size: 42
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
epoch: 0
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6452_f1_0.2616
loss: 1.2840, acc: 0.6250, test_acc: 0.6452, f1: 0.2616
loss: 1.2186, acc: 0.6250, test_acc: 0.6443, f1: 0.2740
loss: 1.0644, acc: 0.6250, test_acc: 0.6247, f1: 0.2855
loss: 1.5028, acc: 0.5625, test_acc: 0.5273, f1: 0.2885
loss: 1.1258, acc: 0.5500, test_acc: 0.3566, f1: 0.2527
loss: 1.6235, acc: 0.5208, test_acc: 0.2431, f1: 0.2001
loss: 1.2961, acc: 0.5089, test_acc: 0.2038, f1: 0.1839
loss: 0.9280, acc: 0.5078, test_acc: 0.2332, f1: 0.2367
loss: 1.2975, acc: 0.4722, test_acc: 0.2252, f1: 0.2196
loss: 1.1799, acc: 0.4562, test_acc: 0.1769, f1: 0.1463
loss: 1.2460, acc: 0.4432, test_acc: 0.1707, f1: 0.1097
loss: 1.2058, acc: 0.4271, test_acc: 0.1752, f1: 0.1056
loss: 1.5042, acc: 0.4135, test_acc: 0.1752, f1: 0.1026
loss: 1.2550, acc: 0.4152, test_acc: 0.1761, f1: 0.1281
loss: 1.1325, acc: 0.4042, test_acc: 0.2002, f1: 0.1966
loss: 1.3334, acc: 0.3945, test_acc: 0.2181, f1: 0.2152
loss: 1.2950, acc: 0.3897, test_acc: 0.2869, f1: 0.2902
loss: 1.0933, acc: 0.3993, test_acc: 0.5916, f1: 0.3408
loss: 1.2071, acc: 0.4046, test_acc: 0.6086, f1: 0.3277
loss: 1.0600, acc: 0.4125, test_acc: 0.4084, f1: 0.2839
loss: 1.2765, acc: 0.4048, test_acc: 0.2234, f1: 0.2183
loss: 1.3018, acc: 0.3920, test_acc: 0.1752, f1: 0.0994
loss: 1.3058, acc: 0.3859, test_acc: 0.1752, f1: 0.0995
loss: 1.0043, acc: 0.3880, test_acc: 0.2038, f1: 0.1824
loss: 1.0537, acc: 0.3875, test_acc: 0.2270, f1: 0.2215
loss: 1.1252, acc: 0.3846, test_acc: 0.2064, f1: 0.1872
loss: 1.2437, acc: 0.3843, test_acc: 0.3119, f1: 0.2825
loss: 1.0423, acc: 0.3862, test_acc: 0.6318, f1: 0.3431
>> saved: ./state_dict/gnn-transformer_restaurant_acc_0.6497_f1_0.2625
